Date,NVDA,AAPL,AMZN,MSFT,AMD,NFLX,BA,JPM,XOM,BAC,INTC,UNH,MU,DIS,ADBE,BRK-B,LLY,JNJ,QCOM,CVX,HD,COST,WMT,PFE,WFC,C,PG,CSCO,AMAT,MRK,ORCL,NKE,BKNG,GS
2013-05-31,0.3376198410987854,13.806560516357422,13.460000038146973,28.637407302856445,4.0,32.32143020629883,83.94020080566406,39.29867935180664,55.12478256225586,10.854354858398438,17.715085983276367,52.07197952270508,11.418620109558105,56.64579391479492,42.90999984741211,114.06999969482422,41.574119567871094,60.258201599121094,45.2421989440918,74.33041381835938,59.30412292480469,87.15721130371094,19.58806610107422,15.987666130065918,28.884340286254883,39.16221237182617,54.648216247558594,16.62469482421875,12.90303897857666,30.755571365356445,28.19194984436035,26.662914276123047,793.8651123046875,129.159423828125
2013-06-30,0.3275867998600006,12.173336029052734,13.884499549865723,28.342010498046875,4.079999923706055,30.15571403503418,86.83939361572266,38.00288772583008,55.05168151855469,10.226325035095215,17.678600311279297,54.681396484375,14.009317398071289,56.70865249633789,45.560001373291016,111.91999816894531,38.41460418701172,61.46078109741211,43.780242919921875,71.65998840332031,58.69642639160156,87.90452575683594,19.496456146240234,16.445634841918945,29.397207260131836,36.13408660888672,54.81196212768555,16.776329040527344,12.665351867675781,30.871875762939453,25.629812240600586,27.536394119262695,816.3204345703125,120.52916717529297
2013-07-31,0.3369198143482208,13.89251708984375,15.060999870300293,26.126506805419922,3.7699999809265137,34.92571258544922,89.09426879882812,40.41191482543945,57.12336349487305,11.609980583190918,17.029239654541016,60.835975646972656,12.943710327148438,58.055660247802734,47.279998779296875,115.87000274658203,41.535011291503906,66.92969512939453,46.26701736450195,76.23179626464844,59.87836456298828,93.35035705566406,20.399431228637695,17.30188751220703,30.985654830932617,39.27520751953125,57.59668731689453,17.761947631835938,13.853788375854492,32.01503372192383,27.101686477661133,27.207759857177734,864.7069091796875,130.71337890625
2013-08-31,0.3458881378173828,15.056251525878906,14.048999786376953,27.599699020385742,3.2699999809265137,40.558570861816406,88.49494171142578,36.64120101928711,53.475013732910156,11.228280067443848,16.193883895874023,59.90902328491211,13.266324996948242,54.62529373168945,45.75,111.22000122070312,40.56544876098633,62.32050704956055,47.750179290771484,73.52803039550781,56.43858337402344,89.16936492919922,19.217235565185547,16.69813346862793,29.462604522705078,36.412254333496094,55.86809158325195,16.179405212402344,12.824223518371582,31.430166244506836,26.691192626953125,27.254831314086914,926.7799682617188,121.62726593017578
2013-09-30,0.36488261818885803,14.732706069946289,15.631999969482422,27.50054359436035,3.809999942779541,44.172855377197266,100.05924987792969,37.482357025146484,52.787864685058594,10.981522560119629,16.886428833007812,60.02568435668945,17.07904815673828,57.91196823120117,51.939998626708984,113.51000213623047,39.72100830078125,62.522464752197266,48.49943923950195,74.18130493164062,57.7714729309082,91.79973602294922,19.47528648376465,17.00593376159668,29.63473892211914,36.54786682128906,54.21835708618164,16.262699127197266,14.977259635925293,31.928030014038086,27.78865623474121,31.51529884338379,998.2933349609375,126.48822784423828
2013-10-31,0.3562060594558716,16.152667999267578,18.201499938964844,29.260643005371094,3.3399999141693115,46.06856918334961,111.12962341308594,37.64891815185547,54.98428726196289,11.116803169250488,18.02840232849121,57.21761703491211,17.28434944152832,61.59376525878906,54.220001220703125,115.08999633789062,39.31850051879883,66.79207611083984,50.06277847290039,73.24105072021484,59.32524871826172,94.05548095703125,20.20995330810547,18.16610336303711,30.617298126220703,36.75865173339844,58.372283935546875,15.773275375366211,15.259200096130371,30.238080978393555,28.166810989379883,32.86893844604492,1040.636474609375,128.60687255859375
2013-11-30,0.3678017854690552,17.284204483032227,19.680999755859375,31.747251510620117,3.640000104904175,52.25714111328125,114.73965454101562,41.798057556152344,57.74276351928711,12.588959693908691,17.728666305541992,62.43140411376953,20.62781524658203,63.344879150390625,56.779998779296875,116.52999877929688,40.025962829589844,68.74717712402344,53.26243591308594,75.38292694091797,61.4426383972168,100.23152160644531,21.331703186035156,18.927101135253906,31.794923782348633,39.878395080566406,60.88069152832031,14.857364654541016,14.868524551391602,33.41679382324219,29.671833038330078,34.335365295410156,1177.402587890625,135.5103759765625
2013-12-31,0.37770411372184753,17.43807029724121,19.93950080871582,31.147764205932617,3.869999885559082,52.5957145690918,116.65410614013672,42.71846389770508,62.511409759521484,12.397998809814453,19.30521011352539,63.35938262939453,21.263269424438477,69.45413970947266,59.880001068115234,118.55999755859375,40.64762878417969,66.5175552368164,53.74745559692383,76.90364074707031,63.02272033691406,95.1092529296875,20.841419219970703,18.270950317382812,32.79166793823242,39.26801681518555,58.84939193725586,15.682393074035645,15.195114135742188,33.8687744140625,32.16901397705078,34.225337982177734,1147.84716796875,142.1839599609375
2014-01-31,0.3701595067977905,15.560036659240723,17.934499740600586,31.50579833984375,3.430000066757202,58.47571563720703,107.05615234375,40.70383834838867,56.92738723754883,13.337600708007812,18.249225616455078,60.818294525146484,22.52440643310547,66.00871276855469,59.189998626708984,111.5999984741211,43.04663848876953,64.25164794921875,53.7257194519043,68.72749328613281,58.82069778442383,89.78724670410156,19.77934455871582,18.133752822875977,32.74834060668945,35.7487907409668,55.80583190917969,15.435811042785645,14.455985069274902,35.84473419189453,31.124225616455078,31.70543670654297,1130.5565185546875,131.64414978027344
2014-02-28,0.4353026747703552,16.454919815063477,18.104999542236328,32.13629913330078,3.7100000381469727,63.66143035888672,110.8056869506836,41.77731704711914,59.887332916259766,13.162428855895996,18.588415145874023,65.01699829101562,23.648666381835938,73.46320343017578,68.62999725341797,115.77999877929688,47.94084548950195,67.38390350341797,54.500247955322266,71.63621520996094,62.78545379638672,93.58757781982422,19.784648895263672,19.31349754333496,33.75458526611328,36.65324783325195,57.291629791259766,15.358311653137207,16.38202667236328,38.56505584716797,32.988311767578125,34.181983947753906,1331.953125,133.96372985839844
2014-03-31,0.4241713881492615,16.783239364624023,16.818500518798828,34.3843994140625,4.010000228881836,50.290000915527344,107.85762023925781,44.637474060058594,60.764434814453125,13.704115867614746,19.376693725585938,69.23777770996094,23.130525588989258,72.79048156738281,65.73999786376953,124.97000122070312,47.337677001953125,71.85324096679688,57.35111618041992,73.85987854003906,60.914180755615234,89.48509979248047,20.373445510864258,19.319507598876953,36.16874313354492,35.876914978027344,58.704627990722656,15.795106887817383,17.643512725830078,38.71604919433594,34.506561279296875,32.24368667602539,1176.9681396484375,131.87124633789062
2014-04-30,0.4374341666698456,18.451435089111328,15.206500053405762,33.88949203491211,4.090000152587891,46.005714416503906,110.89164733886719,41.41913604736328,63.70688247680664,12.062813758850098,20.037353515625,63.36870574951172,25.535478591918945,72.12686920166016,61.689998626708984,128.85000610351562,47.53068923950195,74.0915298461914,57.24201202392578,77.96563720703125,61.20672607421875,92.69014739990234,21.24777603149414,18.814268112182617,36.096038818359375,36.110565185546875,60.605255126953125,16.420373916625977,16.46843147277832,39.93679428100586,34.58406448364258,31.846420288085938,1143.2554931640625,128.62777709960938
2014-05-31,0.45205894112586975,19.903728485107422,15.6274995803833,34.584747314453125,4.0,59.689998626708984,116.8985366821289,41.115779876708984,62.96194076538086,12.062813758850098,20.68655776977539,67.24478912353516,27.95020294189453,76.37228393554688,64.54000091552734,128.33999633789062,48.54222869873047,74.73314666748047,58.5074348449707,76.92095184326172,61.76095962524414,93.24724578857422,20.590774536132812,17.98067855834961,37.190147399902344,35.86179733276367,59.313140869140625,17.493276596069336,17.53192138671875,39.459407806396484,35.54848861694336,33.68115997314453,1262.6219482421875,129.05850219726562
